CNTRCT_AR,EXCLUSE_AR,GNSPLY_HSHLDCO,GP,HOUSE_MANAGE_NO,MODEL_NO,PBLANC_NO,SPSPLY_AGED_HSHLDCO,SPSPLY_NEW_MRRG_HSHLDCO,SPSPLY_YGMN_HSHLDCO,SUBSCRPT_REQST_AMOUNT,SUPLY_AMOUNT,SUPLY_AR,SUPLY_HSHLDCO,TP
209.5720,84.9832,8,-,2023850013,04,2023850013,0,0,0,30,66642,114.9806,8,84A
209.5149,84.9638,4,-,2023850013,05,2023850013,0,0,0,30,67355,114.9452,4,84B
208.4470,84.9922,30,-,2023850013,06,2023850013,0,0,0,30,69397,113.8456,30,84C
209.0984,84.9754,1,-,2023850013,07,2023850013,0,0,0,30,66547,114.5158,1,84T
121.9784,59.9536,0,-,2023850012,01,2023850012,12,45,21,10,17900,83.6704,78,59A
123.2580,59.9960,0,-,2023850012,02,2023850012,5,41,33,10,17800,84.9230,79,59B
121.7906,59.9449,0,-,2023850012,03,2023850012,5,27,29,10,17700,83.4882,61,59C
148.3305,75.2470,0,-,2023850012,04,2023850012,4,1,16,10,21000,100.2506,21,75
162.8704,84.7229,0,-,2023850012,05,2023850012,4,0,2,10,22900,108.7358,6,84
39.9778,20.0111,18,-,2023850011,01,2023850011,0,0,0,10,500,33.6142,18,20B
45.5924,23.6542,4,-,2023850011,02,2023850011,0,0,0,10,500,38.0702,4,23A3
46.0589,23.5875,18,-,2023850011,03,2023850011,0,0,0,10,500,38.5579,18,23B
46.1002,23.7568,18,-,2023850011,04,2023850011,0,0,0,10,500,38.5454,18,23C
57.3932,29.9675,14,-,2023850011,05,2023850011,0,0,0,10,1000,47.8634,14,29A1
56.6475,29.0682,56,-,2023850011,06,2023850011,0,0,0,10,1000,47.4037,56,29A3
79.8394,41.8508,10,-,2023850011,07,2023850011,0,0,0,10,1500,66.5307,10,41A
79.8394,41.8508,0,-,2023850011,08,2023850011,0,0,8,10,1500,66.5307,8,41D
81.4129,42.1223,10,-,2023850011,09,2023850011,0,0,0,10,1500,68.0177,10,42A4
80.6840,42.2022,6,-,2023850011,10,2023850011,0,0,0,10,1500,67.2634,6,42A5
81.4129,42.1223,0,-,2023850011,11,2023850011,0,0,22,10,1500,68.0177,22,42D4
80.6840,42.2022,0,-,2023850011,12,2023850011,0,0,11,10,1500,67.2634,11,42D5
91.2457,47.9479,4,-,2023850011,13,2023850011,0,0,0,10,1500,75.9982,4,47A6
91.1669,47.8525,4,-,2023850011,14,2023850011,0,0,0,10,1500,75.9495,4,47A7
91.0184,47.6622,2,-,2023850011,15,2023850011,0,0,0,10,1500,75.8615,2,47C
148.3924,59.9860,0,-,2023850010,01,2023850010,3,9,2,30,46410,81.6244,14,59A-2
